Date,Rt,Et,Ret,Qt
94/08/17 02,0.020,0.000,0.020,0.2897
94/08/17 03,0.010,0.000,0.010,0.2935
94/08/17 04,0.005,0.000,0.005,0.295
94/08/17 05,0.044,0.000,0.044,0.295
94/08/17 06,0.507,0.004,0.503,0.2981
94/08/17 07,0.032,0.019,0.013,0.3038
94/08/17 08,0.000,0.073,0.000,0.3052
94/08/17 09,0.012,0.102,0.000,0.309
94/08/17 10,0.005,0.146,0.000,0.3105
94/08/17 11,0.005,0.136,0.000,0.306
94/08/17 12,0.000,0.189,0.000,0.3039
94/08/17 13,0.010,0.187,0.000,0.2981
94/08/17 14,0.000,0.197,0.000,0.309
94/08/17 15,0.000,0.223,0.000,0.3069
94/08/17 16,0.000,0.162,0.000,0.2969
94/08/17 17,0.000,0.095,0.000,0.2969
94/08/17 18,0.002,0.102,0.000,0.3001
94/08/17 19,0.000,0.033,0.000,0.3218
94/08/17 20,0.000,0.000,0.000,0.3383
94/08/17 21,0.000,0.000,0.000,0.3232
94/08/17 22,0.000,0.000,0.000,0.3011
94/08/17 23,0.000,0.000,0.000,0.2868
94/08/18 00,0.000,0.000,0.000,0.2764
94/08/18 01,0.000,0.000,0.000,0.272
94/08/18 02,0.000,0.000,0.000,0.272
94/08/18 03,0.010,0.000,0.010,0.272
94/08/18 04,0.000,0.000,0.000,0.272
94/08/18 05,0.000,0.000,0.000,0.272
94/08/18 06,0.020,0.003,0.017,0.2751
94/08/18 07,0.000,0.032,0.000,0.277
94/08/18 08,0.000,0.045,0.000,0.2808
94/08/18 09,0.000,0.082,0.000,0.2815
94/08/18 10,0.000,0.111,0.000,0.2808
94/08/18 11,0.000,0.133,0.000,0.2785
94/08/18 12,0.000,0.150,0.000,0.277
94/08/18 13,0.000,0.216,0.000,0.2758
94/08/18 14,0.000,0.136,0.000,0.2764
94/08/18 15,0.000,0.076,0.000,0.2745
94/08/18 16,0.000,0.030,0.000,0.2751
94/08/18 17,0.000,0.027,0.000,0.2778
94/08/18 18,0.014,0.014,0.000,0.2815
94/08/18 19,0.000,0.007,0.000,0.2838
94/08/18 20,0.108,0.001,0.107,0.2934
94/08/18 21,0.000,0.000,0.000,0.3045
94/08/18 22,0.019,0.000,0.019,0.312
94/08/18 23,0.019,0.000,0.019,0.312
94/08/19 00,0.000,0.000,0.000,0.312
94/08/19 01,0.089,0.000,0.089,0.3128
94/08/19 02,2.783,0.000,2.783,0.3278
94/08/19 03,0.737,0.000,0.737,0.3293
94/08/19 04,0.052,0.000,0.052,0.3105
94/08/19 05,0.058,0.000,0.058,0.2989
94/08/19 06,0.014,0.000,0.014,0.295
94/08/19 07,0.104,0.009,0.095,0.295
94/08/19 08,0.010,0.033,0.000,0.2956
94/08/19 09,0.499,0.075,0.424,0.303
94/08/19 10,0.040,0.148,0.000,0.3038
94/08/19 11,0.000,0.206,0.000,0.3097
94/08/19 12,0.000,0.222,0.000,0.3248
94/08/19 13,0.010,0.250,0.000,0.3368
94/08/19 14,0.011,0.252,0.000,0.3405
94/08/19 15,0.000,0.233,0.000,0.336
94/08/19 16,0.000,0.168,0.000,0.3315
94/08/19 17,0.000,0.099,0.000,0.324
94/08/19 18,0.000,0.049,0.000,0.324
94/08/19 19,0.000,0.029,0.000,0.324
94/08/19 20,0.000,0.002,0.000,0.324
94/08/19 21,0.000,0.000,0.000,0.324
94/08/19 22,0.000,0.000,0.000,0.324
94/08/19 23,0.000,0.000,0.000,0.324
94/08/20 00,0.000,0.000,0.000,0.3278
94/08/20 01,0.000,0.000,0.000,0.3322
94/08/20 02,0.000,0.000,0.000,0.3405
94/08/20 03,0.000,0.000,0.000,0.348
94/08/20 04,0.000,0.000,0.000,0.3458
94/08/20 05,0.000,0.000,0.000,0.342
94/08/20 06,0.010,0.001,0.009,0.342
94/08/20 07,0.005,0.022,0.000,0.342
94/08/20 08,0.000,0.073,0.000,0.342
94/08/20 09,0.000,0.147,0.000,0.3368
94/08/20 10,0.000,0.126,0.000,0.3338
94/08/20 11,0.010,0.203,0.000,0.3278
94/08/20 12,0.000,0.144,0.000,0.3233
94/08/20 13,0.000,0.093,0.000,0.3172
94/08/20 14,0.000,0.101,0.000,0.3135
94/08/20 15,0.000,0.055,0.000,0.312
94/08/20 16,0.000,0.037,0.000,0.3128
94/08/20 17,0.000,0.010,0.000,0.3195
94/08/20 18,0.184,0.014,0.170,0.3165
94/08/20 19,0.000,0.000,0.000,0.3218
94/08/20 20,0.000,0.000,0.000,0.3315
94/08/20 21,0.000,0.000,0.000,0.3203
94/08/20 22,0.000,0.000,0.000,0.3158
94/08/20 23,0.000,0.000,0.000,0.312
94/08/21 00,0.000,0.000,0.000,0.312
94/08/21 01,0.000,0.000,0.000,0.312
94/08/21 02,0.000,0.000,0.000,0.312
94/08/21 03,0.000,0.000,0.000,0.312
94/08/21 04,0.000,0.000,0.000,0.312
94/08/21 05,0.000,0.000,0.000,0.312
94/08/21 06,0.000,0.001,0.000,0.312
94/08/21 07,0.000,0.037,0.000,0.3112
94/08/21 08,0.000,0.077,0.000,0.306
94/08/21 09,0.000,0.138,0.000,0.306
94/08/21 10,0.001,0.192,0.000,0.306
94/08/21 11,0.000,0.203,0.000,0.3052
94/08/21 12,0.000,0.159,0.000,0.3
94/08/21 13,0.000,0.154,0.000,0.3
94/08/21 14,0.010,0.123,0.000,0.2969
94/08/21 15,0.000,0.138,0.000,0.295
94/08/21 16,0.010,0.057,0.000,0.295
94/08/21 17,0.000,0.050,0.000,0.295
94/08/21 18,0.000,0.030,0.000,0.295
94/08/21 19,0.000,0.004,0.000,0.295
94/08/21 20,0.000,0.000,0.000,0.2969
94/08/21 21,0.000,0.000,0.000,0.3
94/08/21 22,0.000,0.000,0.000,0.2994
94/08/21 23,0.005,0.000,0.005,0.2994
94/08/22 00,0.005,0.000,0.005,0.2987
94/08/22 01,0.000,0.000,0.000,0.2987
94/08/22 02,0.000,0.000,0.000,0.2975
94/08/22 03,0.000,0.000,0.000,0.3
94/08/22 04,0.000,0.000,0.000,0.3
94/08/22 05,0.005,0.000,0.005,0.3
94/08/22 06,0.005,0.000,0.005,0.3
94/08/22 07,0.000,0.015,0.000,0.3
94/08/22 08,0.000,0.083,0.000,0.2956
94/08/22 09,0.010,0.115,0.000,0.2962
94/08/22 10,0.000,0.137,0.000,0.2928
94/08/22 11,0.000,0.203,0.000,0.289
94/08/22 12,0.000,0.173,0.000,0.2837
94/08/22 13,0.000,0.137,0.000,0.2822
94/08/22 14,0.000,0.242,0.000,0.277
94/08/22 15,0.000,0.205,0.000,0.2778
94/08/22 16,0.000,0.123,0.000,0.2808
94/08/22 17,0.000,0.074,0.000,0.2808
94/08/22 18,0.000,0.014,0.000,0.283
94/08/22 19,0.000,0.002,0.000,0.2808
94/08/22 20,0.000,0.001,0.000,0.277
94/08/22 21,0.010,0.000,0.010,0.2778
94/08/22 22,0.010,0.000,0.010,0.283
94/08/22 23,0.000,0.000,0.000,0.283
94/08/23 00,0.000,0.000,0.000,0.283
94/08/23 01,0.000,0.000,0.000,0.2868
94/08/23 02,0.000,0.000,0.000,0.2942
94/08/23 03,0.030,0.000,0.030,0.2994
94/08/23 04,0.010,0.000,0.010,0.3008
94/08/23 05,0.002,0.000,0.002,0.306
94/08/23 06,0.016,0.000,0.016,0.3082
94/08/23 07,0.010,0.010,0.000,0.312
94/08/23 08,0.000,0.028,0.000,0.3135
94/08/23 09,1.030,0.023,1.007,0.312
94/08/23 10,1.971,0.019,1.952,0.3195
94/08/23 11,0.362,0.030,0.332,0.321
94/08/23 12,0.070,0.054,0.016,0.3263
94/08/23 13,0.005,0.082,0.000,0.3248
94/08/23 14,0.005,0.135,0.000,0.33
94/08/23 15,0.000,0.206,0.000,0.333
94/08/23 16,0.000,0.147,0.000,0.3248
94/08/23 17,0.000,0.112,0.000,0.33
94/08/23 18,0.000,0.047,0.000,0.327
94/08/23 19,0.026,0.010,0.016,0.3338
94/08/23 20,0.010,0.000,0.010,0.3413
94/08/23 21,0.000,0.000,0.000,0.342
94/08/23 22,0.000,0.000,0.000,0.342
94/08/23 23,0.000,0.000,0.000,0.3382
94/08/24 00,0.010,0.000,0.010,0.336
94/08/24 01,0.000,0.000,0.000,0.336
94/08/24 02,0.015,0.000,0.015,0.3338
94/08/24 03,0.000,0.000,0.000,0.3315
94/08/24 04,0.000,0.000,0.000,0.33
94/08/24 05,0.000,0.000,0.000,0.3315
94/08/24 06,0.010,0.000,0.010,0.33
94/08/24 07,0.000,0.022,0.000,0.33
94/08/24 08,0.000,0.050,0.000,0.33
94/08/24 09,0.000,0.077,0.000,0.3248
94/08/24 10,0.000,0.126,0.000,0.324
94/08/24 11,0.000,0.175,0.000,0.3203
94/08/24 12,0.170,0.142,0.028,0.3128
94/08/24 13,0.224,0.183,0.041,0.3105
94/08/24 14,0.173,0.154,0.019,0.3105
94/08/24 15,0.047,0.095,0.000,0.3105
94/08/24 16,0.283,0.060,0.223,0.3112
94/08/24 17,0.081,0.098,0.000,0.309
94/08/24 18,0.000,0.079,0.000,0.3082
94/08/24 19,0.000,0.008,0.000,0.312
94/08/24 20,0.000,0.000,0.000,0.312
94/08/24 21,0.000,0.000,0.000,0.312
94/08/24 22,0.000,0.000,0.000,0.3128
94/08/24 23,0.005,0.000,0.005,0.318
94/08/25 00,0.026,0.000,0.026,0.318
94/08/25 01,0.195,0.000,0.195,0.3188
94/08/25 02,0.168,0.000,0.168,0.3188
94/08/25 03,0.174,0.000,0.174,0.3202
94/08/25 04,1.767,0.000,1.767,0.3293
94/08/25 05,4.962,0.000,4.962,0.3696
94/08/25 06,2.454,0.000,2.454,0.379
94/08/25 07,2.593,0.008,2.585,0.3909
94/08/25 08,0.315,0.027,0.288,0.3928
94/08/25 09,0.000,0.124,0.000,0.4119
94/08/25 10,0.000,0.159,0.000,0.46
94/08/25 11,0.000,0.220,0.000,0.4754
94/08/25 12,0.000,0.180,0.000,0.4684
94/08/25 13,0.005,0.156,0.000,0.5029
94/08/25 14,0.010,0.219,0.000,0.5498
94/08/25 15,0.000,0.205,0.000,0.5559
94/08/25 16,0.000,0.218,0.000,0.5454
94/08/25 17,0.000,0.127,0.000,0.5269
94/08/25 18,0.000,0.028,0.000,0.5129
94/08/25 19,0.010,0.008,0.003,0.5191
94/08/25 20,0.000,0.001,0.000,0.5384
94/08/25 21,0.000,0.000,0.000,0.589
94/08/25 22,0.000,0.000,0.000,0.611
94/08/25 23,0.000,0.000,0.000,0.598
94/08/26 00,0.038,0.000,0.038,0.565
94/08/26 01,0.294,0.000,0.294,0.5339
94/08/26 02,0.147,0.000,0.147,0.5051
94/08/26 03,0.034,0.000,0.034,0.478
94/08/26 04,0.000,0.000,0.000,0.4574
94/08/26 05,0.138,0.000,0.138,0.4398
94/08/26 06,0.214,0.001,0.213,0.4226
94/08/26 07,0.000,0.038,0.000,0.4088
94/08/26 08,0.010,0.055,0.000,0.3934
94/08/26 09,0.000,0.136,0.000,0.3813
94/08/26 10,0.000,0.157,0.000,0.3715
94/08/26 11,0.000,0.196,0.000,0.3601
94/08/26 12,0.000,0.241,0.000,0.3532
94/08/26 13,0.010,0.171,0.000,0.3472
94/08/26 14,0.000,0.238,0.000,0.342
94/08/26 15,0.000,0.209,0.000,0.3398
94/08/26 16,0.000,0.178,0.000,0.3323
94/08/26 17,0.000,0.090,0.000,0.3292
94/08/26 18,0.000,0.031,0.000,0.324
94/08/26 19,0.000,0.002,0.000,0.324
94/08/26 20,0.000,0.005,0.000,0.3188
94/08/26 21,0.000,0.003,0.000,0.318
94/08/26 22,0.045,0.001,0.044,0.3128
94/08/26 23,1.133,0.000,1.133,0.312
94/08/27 00,0.076,0.000,0.076,0.312
94/08/27 01,0.005,0.000,0.005,0.312
94/08/27 02,0.005,0.000,0.005,0.312
94/08/27 03,0.043,0.000,0.043,0.312
94/08/27 04,0.111,0.000,0.111,0.312
94/08/27 05,0.007,0.000,0.007,0.312
94/08/27 06,0.000,0.000,0.000,0.3105
94/08/27 07,0.010,0.018,0.000,0.3068
94/08/27 08,0.000,0.049,0.000,0.3037
94/08/27 09,0.000,0.135,0.000,0.3
94/08/27 10,0.000,0.175,0.000,0.2969
94/08/27 11,0.010,0.239,0.000,0.2942
94/08/27 12,0.010,0.289,0.000,0.2882
94/08/27 13,0.000,0.228,0.000,0.283
94/08/27 14,0.000,0.234,0.000,0.2792
94/08/27 15,0.000,0.211,0.000,0.277
94/08/27 16,0.000,0.129,0.000,0.277
94/08/27 17,0.000,0.097,0.000,0.277
94/08/27 18,0.000,0.039,0.000,0.277
94/08/27 19,0.000,0.007,0.000,0.277
94/08/27 20,0.000,0.000,0.000,0.277
94/08/27 21,0.000,0.000,0.000,0.277
94/08/27 22,0.000,0.000,0.000,0.277
94/08/27 23,0.000,0.000,0.000,0.277
94/08/28 00,0.000,0.000,0.000,0.277
94/08/28 01,0.005,0.000,0.005,0.277
94/08/28 02,0.005,0.000,0.005,0.277
94/08/28 03,0.000,0.000,0.000,0.277
94/08/28 04,0.000,0.000,0.000,0.277
94/08/28 05,0.033,0.000,0.033,0.277
94/08/28 06,0.100,0.000,0.100,0.277
94/08/28 07,0.039,0.015,0.024,0.277
94/08/28 08,0.000,0.070,0.000,0.2739
94/08/28 09,0.000,0.153,0.000,0.2698
94/08/28 10,0.000,0.180,0.000,0.2675
94/08/28 11,0.138,0.154,0.000,0.2654
94/08/28 12,0.000,0.183,0.000,0.2635
94/08/28 13,0.000,0.203,0.000,0.2558
94/08/28 14,0.000,0.158,0.000,0.2538
94/08/28 15,0.000,0.169,0.000,0.2519
94/08/28 16,0.000,0.103,0.000,0.2492
94/08/28 17,0.000,0.091,0.000,0.247
94/08/28 18,0.000,0.073,0.000,0.2462
94/08/28 19,0.000,0.019,0.000,0.2525
94/08/28 20,0.000,0.000,0.000,0.25
94/08/28 21,0.000,0.000,0.000,0.25
94/08/28 22,0.000,0.000,0.000,0.2538
94/08/28 23,0.000,0.000,0.000,0.2531
94/08/29 00,0.000,0.000,0.000,0.2538
94/08/29 01,0.000,0.000,0.000,0.2519
94/08/29 02,0.000,0.000,0.000,0.2519
94/08/29 03,0.000,0.000,0.000,0.2538
94/08/29 04,0.000,0.000,0.000,0.255
94/08/29 05,0.000,0.000,0.000,0.255
94/08/29 06,0.010,0.000,0.010,0.255
94/08/29 07,0.000,0.015,0.000,0.255
94/08/29 08,0.000,0.051,0.000,0.255
94/08/29 09,0.000,0.065,0.000,0.255
94/08/29 10,0.000,0.100,0.000,0.255
94/08/29 11,0.000,0.086,0.000,0.2506
94/08/29 12,0.000,0.180,0.000,0.25
94/08/29 13,0.000,0.167,0.000,0.2448
94/08/29 14,0.000,0.245,0.000,0.244
94/08/29 15,0.000,0.186,0.000,0.244
94/08/29 16,0.000,0.147,0.000,0.2448
94/08/29 17,0.000,0.080,0.000,0.2448
94/08/29 18,0.000,0.035,0.000,0.244
94/08/29 19,0.000,0.000,0.000,0.244
94/08/29 20,0.000,0.000,0.000,0.244
94/08/29 21,0.000,0.000,0.000,0.2492
94/08/29 22,0.000,0.000,0.000,0.2544
94/08/29 23,0.000,0.000,0.000,0.255
94/08/30 00,0.000,0.000,0.000,0.2519
94/08/30 01,0.000,0.000,0.000,0.25
94/08/30 02,0.000,0.000,0.000,0.25
94/08/30 03,0.000,0.000,0.000,0.2506
94/08/30 04,0.000,0.000,0.000,0.255
94/08/30 05,0.000,0.000,0.000,0.255
94/08/30 06,0.000,0.000,0.000,0.255
94/08/30 07,0.043,0.004,0.039,0.255
94/08/30 08,0.151,0.020,0.131,0.255
94/08/30 09,0.191,0.035,0.156,0.255
94/08/30 10,0.118,0.084,0.034,0.255
94/08/30 11,0.003,0.073,0.000,0.255
94/08/30 12,0.010,0.084,0.000,0.255
94/08/30 13,0.000,0.117,0.000,0.2531
94/08/30 14,0.000,0.126,0.000,0.2544
94/08/30 15,0.010,0.109,0.000,0.255
94/08/30 16,0.000,0.061,0.000,0.255
94/08/30 17,0.000,0.016,0.000,0.2558
94/08/30 18,0.000,0.009,0.000,0.2595
94/08/30 19,0.000,0.001,0.000,0.2629
94/08/30 20,0.000,0.000,0.000,0.266
94/08/30 21,0.000,0.000,0.000,0.266
94/08/30 22,0.000,0.000,0.000,0.266
94/08/30 23,0.000,0.000,0.000,0.266
94/08/31 00,0.116,0.000,0.116,0.266
94/08/31 01,0.280,0.000,0.280,0.266
94/08/31 02,0.388,0.000,0.388,0.266
94/08/31 03,0.591,0.000,0.591,0.266
94/08/31 04,0.034,0.000,0.034,0.266
94/08/31 05,0.340,0.001,0.339,0.2682
94/08/31 06,0.180,0.000,0.180,0.272
94/08/31 07,0.046,0.003,0.043,0.272
94/08/31 08,0.099,0.009,0.090,0.2732
94/08/31 09,1.771,0.010,1.761,0.2809
94/08/31 10,2.711,0.016,2.695,0.2986
94/08/31 11,2.548,0.020,2.528,0.3143
94/08/31 12,1.159,0.038,1.121,0.3248
94/08/31 13,0.555,0.051,0.504,0.324
94/08/31 14,0.070,0.072,0.000,0.3293
94/08/31 15,0.083,0.051,0.032,0.3549
94/08/31 16,0.261,0.021,0.240,0.3854
94/08/31 17,0.561,0.014,0.547,0.4112
94/08/31 18,0.153,0.024,0.129,0.4381
94/08/31 19,0.029,0.003,0.026,0.4666
94/08/31 20,0.031,0.000,0.031,0.4885
94/08/31 21,0.029,0.000,0.029,0.485
94/08/31 22,0.002,0.001,0.001,0.471
94/08/31 23,0.000,0.000,0.000,0.4606
94/09/01 00,0.000,0.000,0.000,0.4501
94/09/01 01,0.000,0.000,0.000,0.4423
94/09/01 02,0.000,0.000,0.000,0.4423
94/09/01 03,0.008,0.000,0.008,0.444
94/09/01 04,0.000,0.000,0.000,0.444
94/09/01 05,0.000,0.000,0.000,0.4466
94/09/01 06,0.000,0.000,0.000,0.451
94/09/01 07,0.000,0.004,0.000,0.451
94/09/01 08,0.000,0.019,0.000,0.4484
94/09/01 09,0.000,0.052,0.000,0.4396
94/09/01 10,0.000,0.070,0.000,0.4309
94/09/01 11,0.002,0.068,0.000,0.4194
94/09/01 12,0.083,0.082,0.001,0.4064
94/09/01 13,0.312,0.079,0.233,0.3972
94/09/01 14,0.073,0.064,0.009,0.3876
94/09/01 15,0.000,0.090,0.000,0.3868
94/09/01 16,0.222,0.102,0.120,0.3798
94/09/01 17,0.002,0.071,0.000,0.3752
94/09/01 18,0.000,0.079,0.000,0.373
94/09/01 19,0.016,0.016,0.000,0.3708
94/09/01 20,0.008,0.000,0.008,0.367
94/09/01 21,0.000,0.000,0.000,0.3626
94/09/01 22,0.000,0.000,0.000,0.3562
94/09/01 23,0.000,0.000,0.000,0.3487
94/09/02 00,0.000,0.000,0.000,0.3443
94/09/02 01,0.000,0.000,0.000,0.3382
94/09/02 02,0.002,0.000,0.002,0.3345
94/09/02 03,0.000,0.000,0.000,0.336
94/09/02 04,0.010,0.000,0.010,0.336
94/09/02 05,0.000,0.000,0.000,0.3323
94/09/02 06,0.017,0.000,0.017,0.33
94/09/02 07,0.009,0.019,0.000,0.3262
94/09/02 08,0.012,0.072,0.000,0.3233
94/09/02 09,0.000,0.165,0.000,0.318
94/09/02 10,0.000,0.228,0.000,0.315
94/09/02 11,0.000,0.294,0.000,0.3202
94/09/02 12,0.000,0.314,0.000,0.3248
94/09/02 13,0.000,0.318,0.000,0.33
94/09/02 14,0.000,0.307,0.000,0.33
94/09/02 15,0.000,0.280,0.000,0.33
94/09/02 16,0.000,0.232,0.000,0.3262
94/09/02 17,0.000,0.165,0.000,0.324
94/09/02 18,0.000,0.058,0.000,0.324
94/09/02 19,0.000,0.000,0.000,0.3233
94/09/02 20,0.000,0.000,0.000,0.318
94/09/02 21,0.000,0.000,0.000,0.318
94/09/02 22,0.000,0.000,0.000,0.318
94/09/02 23,0.000,0.000,0.000,0.3142
94/09/03 00,0.000,0.000,0.000,0.312
94/09/03 01,0.000,0.000,0.000,0.312
94/09/03 02,0.008,0.000,0.008,0.312
94/09/03 03,0.008,0.000,0.008,0.3068
94/09/03 04,0.053,0.000,0.053,0.306
94/09/03 05,0.040,0.000,0.040,0.306
94/09/03 06,0.016,0.000,0.016,0.3037
94/09/03 07,0.002,0.004,0.000,0.3
94/09/03 08,0.007,0.015,0.000,0.3
94/09/03 09,0.000,0.033,0.000,0.3
94/09/03 10,0.020,0.030,0.000,0.2956
94/09/03 11,0.024,0.027,0.000,0.295
94/09/03 12,0.082,0.039,0.043,0.2969
94/09/03 13,0.000,0.047,0.000,0.3
94/09/03 14,0.000,0.051,0.000,0.3
94/09/03 15,0.022,0.054,0.000,0.3038
94/09/03 16,0.000,0.059,0.000,0.306
94/09/03 17,0.000,0.038,0.000,0.306
94/09/03 18,0.008,0.014,0.000,0.3112
94/09/03 19,0.000,0.003,0.000,0.312
94/09/03 20,0.122,0.000,0.122,0.3143
94/09/03 21,0.727,0.000,0.727,0.318
94/09/03 22,0.307,0.000,0.307,0.318
94/09/03 23,0.002,0.000,0.002,0.3218
94/09/04 00,0.486,0.000,0.486,0.324
94/09/04 01,0.841,0.000,0.841,0.324
94/09/04 02,0.707,0.000,0.707,0.3293
94/09/04 03,0.220,0.000,0.220,0.33
94/09/04 04,0.010,0.000,0.010,0.3308
94/09/04 05,0.001,0.000,0.001,0.336
94/09/04 06,0.001,0.000,0.001,0.336
94/09/04 07,0.000,0.018,0.000,0.3383
94/09/04 08,0.000,0.069,0.000,0.342
94/09/04 09,0.000,0.093,0.000,0.342
94/09/04 10,0.008,0.123,0.000,0.342
94/09/04 11,0.000,0.141,0.000,0.3398
94/09/04 12,0.000,0.123,0.000,0.336
94/09/04 13,0.000,0.221,0.000,0.336
94/09/04 14,0.002,0.151,0.000,0.3323
94/09/04 15,0.000,0.110,0.000,0.33
94/09/04 16,0.000,0.071,0.000,0.33
94/09/04 17,0.002,0.025,0.000,0.3248
94/09/04 18,0.008,0.012,0.000,0.324
94/09/04 19,0.000,0.009,0.000,0.3233
94/09/04 20,0.000,0.009,0.000,0.318
94/09/04 21,0.000,0.007,0.000,0.318
94/09/04 22,0.072,0.002,0.070,0.3158
94/09/04 23,0.000,0.000,0.000,0.312
94/09/05 00,0.000,0.000,0.000,0.312
94/09/05 01,0.000,0.000,0.000,0.3082
94/09/05 02,0.016,0.000,0.016,0.306
94/09/05 03,0.000,0.000,0.000,0.306
94/09/05 04,0.008,0.000,0.008,0.3007
94/09/05 05,0.000,0.000,0.000,0.3
94/09/05 06,0.000,0.000,0.000,0.2994
94/09/05 07,0.006,0.030,0.000,0.295
94/09/05 08,0.000,0.089,0.000,0.295
94/09/05 09,0.000,0.153,0.000,0.2928
94/09/05 10,0.000,0.205,0.000,0.289
94/09/05 11,0.000,0.117,0.000,0.2581
94/09/05 12,0.000,0.208,0.000,0.2099
94/09/05 13,0.000,0.183,0.000,0.2161
94/09/05 14,0.000,0.166,0.000,0.223
94/09/05 15,0.000,0.085,0.000,0.2302
94/09/05 16,0.000,0.133,0.000,0.2514
94/09/05 17,0.000,0.051,0.000,0.286
94/09/05 18,0.008,0.046,0.000,0.2698
94/09/05 19,0.000,0.000,0.000,0.2497
94/09/05 20,0.000,0.000,0.000,0.233
94/09/05 21,0.000,0.000,0.000,0.2136
94/09/05 22,0.000,0.000,0.000,0.1971
94/09/05 23,0.000,0.000,0.000,0.1804
94/09/06 00,0.000,0.000,0.000,0.1786
94/09/06 01,0.000,0.000,0.000,0.183
94/09/06 02,0.000,0.000,0.000,0.1865
94/09/06 03,0.000,0.000,0.000,0.1901
94/09/06 04,0.000,0.000,0.000,0.1939
94/09/06 05,0.000,0.000,0.000,0.1976
94/09/06 06,0.000,0.000,0.000,0.202
94/09/06 07,0.000,0.006,0.000,0.2072
94/09/06 08,0.000,0.016,0.000,0.208
94/09/06 09,0.020,0.032,0.000,0.208
94/09/06 10,0.006,0.036,0.000,0.208
94/09/06 11,0.006,0.055,0.000,0.2086
94/09/06 12,0.008,0.079,0.000,0.2149
94/09/06 13,0.016,0.100,0.000,0.223
94/09/06 14,0.020,0.134,0.000,0.2302
94/09/06 15,0.040,0.130,0.000,0.2594
94/09/06 16,2.781,0.024,2.757,0.295
94/09/06 17,0.368,0.099,0.269,0.2898
94/09/06 18,0.000,0.036,0.000,0.2882
94/09/06 19,3.023,0.000,3.023,0.283
94/09/06 20,0.692,0.000,0.692,0.2852
94/09/06 21,0.008,0.000,0.008,0.2897
94/09/06 22,0.008,0.000,0.008,0.295
94/09/06 23,0.001,0.000,0.001,0.2994
94/09/07 00,0.033,0.000,0.033,0.3038
94/09/07 01,0.013,0.000,0.013,0.3082
94/09/07 02,0.011,0.000,0.011,0.3128
94/09/07 03,0.008,0.000,0.008,0.318
94/09/07 04,0.000,0.000,0.000,0.3158
94/09/07 05,0.023,0.000,0.023,0.3098
94/09/07 06,0.021,0.000,0.021,0.3022
94/09/07 07,0.007,0.013,0.000,0.2949
94/09/07 08,0.000,0.032,0.000,0.2867
94/09/07 09,0.016,0.058,0.000,0.2801
94/09/07 10,0.000,0.094,0.000,0.2682
94/09/07 11,1.342,0.104,1.238,0.2641
94/09/07 12,0.511,0.202,0.309,0.261
94/09/07 13,0.000,0.307,0.000,0.2573
94/09/07 14,0.007,0.298,0.000,0.255
94/09/07 15,0.000,0.254,0.000,0.2519
94/09/07 16,0.001,0.224,0.000,0.25
94/09/07 17,0.000,0.139,0.000,0.2448
94/09/07 18,0.000,0.030,0.000,0.244
94/09/07 19,0.000,0.000,0.000,0.2396
94/09/07 20,0.000,0.000,0.000,0.2384
94/09/07 21,0.576,0.006,0.570,0.234
94/09/07 22,0.250,0.000,0.250,0.2332
94/09/07 23,0.636,0.000,0.636,0.228
94/09/08 00,1.028,0.000,1.028,0.2261
94/09/08 01,1.331,0.000,1.331,0.2236
94/09/08 02,1.489,0.000,1.489,0.243
94/09/08 03,0.007,0.000,0.007,0.2544
94/09/08 04,0.162,0.000,0.162,0.2558
94/09/08 05,0.027,0.000,0.027,0.261
94/09/08 06,0.021,0.000,0.021,0.2641
94/09/08 07,0.001,0.028,0.000,0.2668
94/09/08 08,0.007,0.057,0.000,0.2751
94/09/08 09,0.000,0.145,0.000,0.283
94/09/08 10,0.837,0.111,0.726,0.2927
94/09/08 11,0.558,0.036,0.522,0.3016
94/09/08 12,0.532,0.088,0.444,0.3105
94/09/08 13,0.138,0.160,0.000,0.3202
94/09/08 14,0.000,0.290,0.000,0.3285
94/09/08 15,0.000,0.219,0.000,0.3383
94/09/08 16,0.000,0.127,0.000,0.3472
94/09/08 17,0.000,0.108,0.000,0.3502
94/09/08 18,0.115,0.018,0.097,0.354
94/09/08 19,0.030,0.000,0.030,0.354
94/09/08 20,0.000,0.000,0.000,0.354
94/09/08 21,0.022,0.000,0.022,0.354
94/09/08 22,0.014,0.000,0.014,0.354
94/09/08 23,0.000,0.000,0.000,0.354
94/09/09 00,0.007,0.000,0.007,0.354
94/09/09 01,0.000,0.000,0.000,0.3592
94/09/09 02,0.110,0.000,0.110,0.354
94/09/09 03,0.351,0.000,0.351,0.3472
94/09/09 04,2.435,0.000,2.435,0.3398
94/09/09 05,2.059,0.000,2.059,0.3323
94/09/09 06,2.079,0.000,2.079,0.3262
94/09/09 07,0.174,0.010,0.164,0.3188
94/09/09 08,0.067,0.086,0.000,0.312
94/09/09 09,0.000,0.150,0.000,0.3052
94/09/09 10,0.000,0.152,0.000,0.3263
94/09/09 11,0.021,0.178,0.000,0.3541
94/09/09 12,0.158,0.257,0.000,0.3782
94/09/09 13,0.356,0.184,0.172,0.4162
94/09/09 14,0.178,0.190,0.000,0.4865
94/09/09 15,0.015,0.158,0.000,0.5598
94/09/09 16,0.857,0.066,0.791,0.6348
94/09/09 17,0.181,0.020,0.161,0.7161
94/09/09 18,0.716,0.002,0.714,0.79
